time,counter
0,1
0.1,1
0.2,1
0.3,1
0.4,1
0.5,1
0.6,1
0.7,1
0.7999999999999999,1
0.8999999999999999,1
0.9999999999999999,1
1,2
1.1,2
1.2,2
1.3,2
1.4,2
1.5,2
1.600000000000001,2
1.700000000000001,2
1.800000000000001,2
1.900000000000001,2
2,3
2.1,3
2.2,3
2.3,3
2.4,3
2.5,3
2.600000000000001,3
2.700000000000001,3
2.800000000000001,3
2.900000000000001,3
3,4
3.1,4
3.2,4
3.3,4
3.4,4
3.5,4
3.600000000000001,4
3.700000000000001,4
3.800000000000001,4
3.900000000000001,4
4,5
4.1,5
4.199999999999999,5
4.299999999999999,5
4.399999999999999,5
4.499999999999998,5
4.599999999999998,5
4.699999999999998,5
4.799999999999997,5
4.899999999999997,5
4.999999999999996,5
5,5
